date,nav,fund,proj_id
2025-02-24,12.9496,K-US500X,M0257_2564
2025-02-25,12.8923,K-US500X,M0257_2564
2025-02-26,12.8993,K-US500X,M0257_2564
2025-02-27,12.7099,K-US500X,M0257_2564
2025-02-28,12.9099,K-US500X,M0257_2564
2025-03-03,12.6927,K-US500X,M0257_2564
2025-03-04,12.5322,K-US500X,M0257_2564
2025-03-05,12.6559,K-US500X,M0257_2564
2025-03-06,12.4393,K-US500X,M0257_2564
2025-03-07,12.4944,K-US500X,M0257_2564
2025-03-10,12.183,K-US500X,M0257_2564
2025-03-11,12.0775,K-US500X,M0257_2564
2025-03-12,12.1393,K-US500X,M0257_2564
2025-03-13,11.9831,K-US500X,M0257_2564
2025-03-14,12.2198,K-US500X,M0257_2564
2025-03-17,12.3029,K-US500X,M0257_2564
2025-03-18,12.1736,K-US500X,M0257_2564
2025-03-19,12.3024,K-US500X,M0257_2564
2025-03-20,12.2779,K-US500X,M0257_2564
2025-03-21,12.2785,K-US500X,M0257_2564
2025-03-24,12.4885,K-US500X,M0257_2564
2025-03-25,12.5186,K-US500X,M0257_2564
2025-03-26,12.3802,K-US500X,M0257_2564
2025-03-27,12.3409,K-US500X,M0257_2564
2025-03-31,12.1726,K-US500X,M0257_2564
2025-04-01,12.2214,K-US500X,M0257_2564
2025-04-02,12.2951,K-US500X,M0257_2564
2025-04-03,11.7216,K-US500X,M0257_2564
2025-04-04,11.0214,K-US500X,M0257_2564
2025-04-08,10.84,K-US500X,M0257_2564
2025-04-09,11.8423,K-US500X,M0257_2564
2025-04-10,11.4171,K-US500X,M0257_2564
2025-04-11,11.5985,K-US500X,M0257_2564
2025-04-16,11.4007,K-US500X,M0257_2564
2025-04-17,11.4129,K-US500X,M0257_2564
2025-04-21,11.1472,K-US500X,M0257_2564
2025-04-22,11.4182,K-US500X,M0257_2564
2025-04-23,11.6053,K-US500X,M0257_2564
2025-04-24,11.8431,K-US500X,M0257_2564
2025-04-25,11.9256,K-US500X,M0257_2564
2025-04-28,11.9359,K-US500X,M0257_2564
2025-04-29,11.9986,K-US500X,M0257_2564
2025-04-30,12.0213,K-US500X,M0257_2564
2025-05-02,12.2448,K-US500X,M0257_2564
2025-05-06,12.0725,K-US500X,M0257_2564
2025-05-07,12.1196,K-US500X,M0257_2564
2025-05-08,12.1972,K-US500X,M0257_2564
2025-05-09,12.1922,K-US500X,M0257_2564
2025-05-13,12.679,K-US500X,M0257_2564
2025-05-14,12.6864,K-US500X,M0257_2564
2025-05-15,12.7488,K-US500X,M0257_2564
2025-05-16,12.825,K-US500X,M0257_2564
2025-05-20,12.7869,K-US500X,M0257_2564
2025-05-21,12.5703,K-US500X,M0257_2564
2025-05-22,12.571,K-US500X,M0257_2564
2025-05-23,12.4885,K-US500X,M0257_2564
2025-05-27,12.7318,K-US500X,M0257_2564
2025-05-28,12.6569,K-US500X,M0257_2564
2025-05-29,12.7092,K-US500X,M0257_2564
2025-05-30,12.6958,K-US500X,M0257_2564
2025-06-04,12.8218,K-US500X,M0257_2564
2025-06-05,12.7582,K-US500X,M0257_2564
2025-06-06,12.8801,K-US500X,M0257_2564
2025-06-09,12.8928,K-US500X,M0257_2564
2025-06-10,12.9641,K-US500X,M0257_2564
2025-06-11,12.9239,K-US500X,M0257_2564
2025-06-12,12.9626,K-US500X,M0257_2564
2025-06-13,12.8219,K-US500X,M0257_2564
2025-06-16,12.9336,K-US500X,M0257_2564
2025-06-17,12.8343,K-US500X,M0257_2564
2025-06-18,12.8315,K-US500X,M0257_2564
2025-06-20,12.7984,K-US500X,M0257_2564
2025-06-23,12.9288,K-US500X,M0257_2564
2025-06-24,13.0512,K-US500X,M0257_2564
2025-06-25,13.0551,K-US500X,M0257_2564
2025-06-26,13.1428,K-US500X,M0257_2564
2025-06-27,13.2069,K-US500X,M0257_2564
2025-06-30,13.2691,K-US500X,M0257_2564
2025-07-01,13.261,K-US500X,M0257_2564
2025-07-02,13.3161,K-US500X,M0257_2564
2025-07-03,13.4062,K-US500X,M0257_2564
2025-07-07,13.3268,K-US500X,M0257_2564
2025-07-08,13.3126,K-US500X,M0257_2564
2025-07-09,13.3939,K-US500X,M0257_2564
2025-07-11,13.3728,K-US500X,M0257_2564
2025-07-14,13.3909,K-US500X,M0257_2564
2025-07-15,13.3349,K-US500X,M0257_2564
2025-07-16,13.3819,K-US500X,M0257_2564
2025-07-17,13.4557,K-US500X,M0257_2564
2025-07-18,13.4466,K-US500X,M0257_2564
2025-07-21,13.4624,K-US500X,M0257_2564
2025-07-22,13.4609,K-US500X,M0257_2564
2025-07-23,13.5662,K-US500X,M0257_2564
2025-07-24,13.5726,K-US500X,M0257_2564
2025-07-25,13.6268,K-US500X,M0257_2564
2025-07-29,13.5906,K-US500X,M0257_2564
2025-07-30,13.5735,K-US500X,M0257_2564
2025-07-31,13.5273,K-US500X,M0257_2564
2025-08-01,13.3226,K-US500X,M0257_2564
2025-08-04,13.4999,K-US500X,M0257_2564
2025-08-05,13.4332,K-US500X,M0257_2564
2025-08-06,13.5294,K-US500X,M0257_2564
2025-08-07,13.5168,K-US500X,M0257_2564
2025-08-08,13.6144,K-US500X,M0257_2564
2025-08-13,13.7651,K-US500X,M0257_2564
2025-08-14,13.7665,K-US500X,M0257_2564
2025-08-15,13.7386,K-US500X,M0257_2564
2025-08-18,13.7306,K-US500X,M0257_2564
2025-08-19,13.6624,K-US500X,M0257_2564
2025-08-20,13.6285,K-US500X,M0257_2564
2025-08-21,13.5769,K-US500X,M0257_2564
2025-08-22,13.7769,K-US500X,M0257_2564
2025-08-25,13.7066,K-US500X,M0257_2564
2025-08-26,13.7593,K-US500X,M0257_2564
2025-08-27,13.7901,K-US500X,M0257_2564
2025-08-28,13.8322,K-US500X,M0257_2564
2025-08-29,13.7546,K-US500X,M0257_2564
2025-09-02,13.6513,K-US500X,M0257_2564
2025-09-03,13.7196,K-US500X,M0257_2564
2025-09-04,13.8252,K-US500X,M0257_2564
2025-09-05,13.7828,K-US500X,M0257_2564
2025-09-08,13.7953,K-US500X,M0257_2564
2025-09-09,13.8191,K-US500X,M0257_2564
